XData,YData1,YData2,YData3,YData4
0.5361,0.155313736919747,0.172972335785095,0.412387,0.474831
0.5371,0.159333705576806,0.177472484764278,0.411343,0.473314
0.5381,0.163331346337557,0.181949573348068,0.410242,0.471733
0.5391,0.167306164632297,0.186403087674347,0.409083,0.470087
0.5401,0.171257673963714,0.190832521989044,0.407862,0.468374
0.5411,0.175185396057344,0.195237378797473,0.406581,0.466595
0.5421,0.17908886100764,0.199617169011295,0.405235,0.464745
0.5431,0.182967607419624,0.203971412091045,0.403826,0.462825
0.5441,0.186821182546044,0.208299636184166,0.40235,0.460834
0.5451,0.19064914241998,0.212601378258488,0.400807,0.458768
0.5461,0.194451051982857,0.216876184231114,0.399196,0.45663
0.5471,0.198226485207807,0.221123609092641,0.397515,0.454415
0.5481,0.201975025218339,0.225343217026691,0.395763,0.452123
0.5491,0.205696264402265,0.2295345815247,0.393938,0.449753
0.5501,0.209389804520858,0.233697285495925,0.39204,0.447305
0.5511,0.213055256813195,0.237830921372631,0.390068,0.444777
0.5521,0.216692242095654,0.241935091210437,0.388019,0.442165
0.5531,0.220300390856542,0.24600940678378,0.385894,0.439473
0.5541,0.223879343345816,0.250053489676476,0.38369,0.436697
0.5551,0.227428749659896,0.254066971367356,0.381408,0.433836
0.5561,0.230948269821524,0.258049493310955,0.379046,0.430891
0.5571,0.234437573854679,0.262000707013248,0.376602,0.427859
0.5581,0.237896341854523,0.265920274102408,0.374078,0.424741
0.5591,0.241324264052362,0.269807866394586,0.371469,0.421533
0.5601,0.244721040875643,0.273663165954705,0.368778,0.418238
0.5611,0.248086383002952,0.277485865152266,0.366003,0.414854
0.5621,0.251420011414042,0.28127566671217,0.363142,0.411379
0.5631,0.254721657434878,0.285032283760555,0.360197,0.407815
0.5641,0.257991062777715,0.288755439865659,0.357163,0.404158
0.5651,0.26122797957622,0.292444869073724,0.354044,0.400411
0.5661,0.264432170415649,0.296100315939946,0.350838,0.396571
0.5671,0.267603408358093,0.299721535554499,0.347543,0.392638
0.5681,0.270741476962829,0.303308293563642,0.344161,0.388615
0.5691,0.27384617030178,0.306860366185944,0.340688,0.384495
0.5701,0.27691729297012,0.310377540223641,0.337129,0.380284
0.5711,0.27995466009206,0.313859613069171,0.333479,0.375979
0.5721,0.282958097321827,0.3173063927069,0.32974,0.37158
0.5731,0.285927440839898,0.320717697710089,0.325913,0.367089
0.5741,0.288862537344504,0.32409335723313,0.321995,0.362503
0.5751,0.291763244038459,0.327433210999104,0.317989,0.357824
0.5761,0.294629428611346,0.33073710928269,0.313892,0.353051
0.5771,0.297460969217121,0.334004912888476,0.309707,0.348185
0.5781,0.300257754447168,0.337236493124729,0.305433,0.343227
0.5791,0.303019683298864,0.340431731772663,0.301069,0.338175
0.5801,0.305746665139706,0.343590521051264,0.296619,0.333032
0.5811,0.308438619667062,0.346712763577729,0.292079,0.327797
0.5821,0.311095476863588,0.349798372323571,0.287452,0.322471
0.5831,0.313717176948387,0.352847270566461,0.282739,0.317054
0.5841,0.316303670323968,0.355859391837853,0.277938,0.311547
0.5851,0.318854917519066,0.358834679866479,0.273053,0.305953
0.5861,0.321370889127389,0.361773088517755,0.268082,0.300268
0.5871,0.323851565742369,0.364674581729186,0.263027,0.294497
0.5881,0.326296937887975,0.367539133441833,0.25789,0.28864
0.5891,0.328707005945673,0.370366727527911,0.252669,0.282696
0.5901,0.331081780077591,0.373157357714597,0.247368,0.27667
0.5911,0.333421280145984,0.37591102750412,0.241986,0.270559
0.5921,0.335725535629053,0.378627750090213,0.236526,0.264367
0.5931,0.337994585533217,0.381307548270995,0.230987,0.258093
0.5941,0.340228478301907,0.383950454358385,0.225372,0.251741
